iter	Passed	Remaining
0	2	2552
1	4	2168
2	6	2046
3	7	1875
4	9	1847
5	10	1767
6	12	1733
7	13	1718
8	15	1666
9	16	1648
10	18	1657
11	19	1633
12	21	1622
13	22	1602
14	24	1580
15	25	1565
16	26	1549
17	28	1538
18	29	1529
19	30	1516
20	32	1504
21	33	1497
22	35	1487
23	36	1474
24	37	1481
25	40	1499
26	41	1493
27	42	1488
28	44	1475
29	45	1472
30	46	1463
31	48	1454
32	49	1450
33	50	1443
34	52	1446
35	53	1439
36	54	1430
37	56	1429
38	58	1434
39	68	1643
40	70	1638
41	71	1626
42	72	1613
43	74	1616
44	76	1622
45	77	1616
46	79	1606
47	80	1599
48	82	1593
49	83	1592
50	85	1591
51	87	1586
52	88	1581
53	89	1575
54	91	1571
55	93	1576
56	95	1575
57	97	1586
58	99	1586
59	101	1584
60	102	1579
61	103	1572
62	105	1571
63	107	1567
64	108	1566
65	110	1560
66	111	1557
67	113	1554
68	114	1551
69	116	1545
70	117	1538
71	118	1531
72	120	1528
73	121	1520
74	122	1514
75	125	1519
76	127	1527
77	129	1529
78	130	1524
79	132	1519
80	133	1513
81	134	1507
82	135	1499
83	136	1493
84	138	1487
85	139	1481
86	140	1475
87	141	1470
88	143	1463
89	144	1459
90	145	1454
91	147	1452
92	148	1449
93	150	1450
94	152	1448
95	153	1442
96	154	1436
97	155	1430
98	156	1425
99	157	1419
100	158	1414
101	160	1410
102	161	1405
103	162	1400
104	163	1395
105	164	1389
106	165	1384
107	166	1378
108	168	1373
109	169	1368
110	186	1494
111	188	1491
112	189	1487
113	190	1483
114	192	1477
115	193	1476
116	195	1473
117	196	1470
118	197	1465
119	199	1460
120	201	1460
121	202	1458
122	203	1454
123	205	1450
124	206	1447
125	207	1442
126	209	1438
127	210	1434
128	211	1430
129	213	1427
130	214	1421
131	215	1417
132	216	1412
133	217	1407
134	219	1404
135	220	1400
136	221	1396
137	222	1392
138	224	1388
139	225	1385
140	226	1380
141	227	1375
142	228	1372
143	230	1367
144	231	1363
145	232	1358
146	233	1354
147	234	1349
148	235	1345
149	236	1341
150	237	1336
151	238	1332
152	240	1328
153	241	1324
154	242	1320
155	243	1315
156	244	1312
157	245	1308
158	247	1306
159	248	1304
160	249	1300
161	250	1296
162	251	1292
163	253	1289
164	254	1286
165	255	1282
166	256	1279
167	257	1276
168	258	1272
169	260	1271
170	262	1270
171	263	1267
172	264	1265
173	265	1261
174	266	1258
175	268	1255
176	269	1251
177	270	1248
178	271	1245
179	272	1242
180	274	1239
181	275	1236
182	276	1235
183	278	1233
184	279	1230
185	280	1228
186	281	1225
187	283	1222
188	284	1220
189	285	1217
190	286	1214
191	287	1211
192	289	1209
193	290	1206
194	291	1203
195	292	1201
196	294	1198
197	295	1195
198	296	1193
199	298	1192
200	299	1189
201	300	1186
202	301	1184
203	303	1183
204	304	1181
205	305	1178
206	306	1175
207	308	1172
208	309	1170
209	310	1167
210	311	1164
211	312	1162
212	313	1159
213	314	1156
214	316	1154
215	317	1151
216	318	1149
217	319	1146
218	320	1144
219	322	1142
220	323	1140
221	324	1138
222	326	1136
223	327	1134
224	328	1131
225	329	1129
226	330	1126
227	332	1124
228	333	1123
229	335	1122
230	336	1119
231	337	1118
232	339	1116
233	340	1114
234	341	1113
235	343	1111
236	344	1110
237	346	1108
238	347	1106
239	348	1103
240	349	1101
241	351	1099
242	352	1097
243	353	1095
244	354	1093
245	356	1091
246	357	1088
247	358	1086
248	359	1083
249	360	1081
250	361	1079
251	362	1077
252	364	1075
253	365	1073
254	366	1072
255	368	1069
256	369	1067
257	370	1065
258	371	1063
259	373	1061
260	374	1060
261	375	1057
262	376	1055
263	377	1053
264	378	1051
265	380	1049
266	381	1047
267	382	1045
268	383	1043
269	384	1040
270	386	1039
271	387	1038
272	389	1036
273	390	1034
274	391	1032
275	392	1030
276	394	1028
277	395	1026
278	396	1024
279	397	1022
280	398	1020
281	400	1018
282	401	1016
283	402	1014
284	403	1012
285	404	1009
286	405	1008
287	406	1006
288	408	1004
289	409	1002
290	410	999
291	411	998
292	412	996
293	414	994
294	415	993
295	416	991
296	417	989
297	419	987
298	420	985
299	421	983
300	422	981
301	423	979
302	425	978
303	426	975
304	427	974
305	428	972
306	429	970
